"","ID","Age_2","Balance_2","Day_2","Duration_2","Campaign_2","Pdays_2","Previous_2","Y_2","Month_2","Education_2","Marital_2","Job_2","Default_2","Loan_2","Contact_2","Poutcome_2","Housing_2"
"1",122482,30,347,22,229,2,-1,0,1,8,3,1,5,1,1,1,4,1
"2",119725,60,3462,7,125,2,-1,0,1,8,1,2,2,1,1,1,4,1
"3",103490,40,157,15,68,2,-1,0,1,5,3,1,5,1,1,3,4,2
"4",126218,45,3689,19,517,2,2,3,1,11,3,2,3,1,1,1,1,2
"5",104835,38,0,20,165,2,-1,0,1,5,1,2,2,1,2,3,4,2
"6",132649,34,703,17,282,2,1,2,1,4,2,2,8,1,1,1,1,1
"7",130037,31,665,4,156,1,-1,0,1,2,3,1,10,1,1,1,4,2
"8",128633,28,1861,29,43,2,-1,0,1,1,2,1,5,1,1,1,4,1
"9",109028,43,1450,4,227,2,-1,0,1,6,2,2,8,1,1,3,4,2
"10",120811,52,2488,13,176,2,-1,0,1,8,1,2,2,1,1,1,4,1
"11",111335,32,7419,18,248,29,-1,0,1,6,3,1,5,1,1,3,4,2
"12",124023,49,102,29,210,2,-1,0,1,8,2,2,2,1,1,1,4,1
"13",126890,30,1379,20,172,2,-1,0,1,11,1,2,11,1,2,1,4,1
"14",140581,66,1993,6,117,4,-1,0,1,7,4,3,12,1,1,1,4,2
"15",130363,29,1261,5,605,1,-1,0,1,2,2,1,1,1,1,1,4,1
"16",117229,40,96,25,188,14,-1,0,1,7,3,3,5,1,1,1,4,2
"17",129081,36,-206,2,122,1,-1,0,1,2,2,2,1,1,1,1,4,2
"18",106015,35,437,26,240,1,-1,0,1,5,2,2,8,1,1,3,4,2
"19",114599,35,-870,14,180,4,-1,0,1,7,2,3,10,1,1,1,4,2
"20",113406,57,0,8,237,3,-1,0,1,7,1,2,2,1,1,1,4,1
"21",133172,24,-424,20,10,6,-1,0,1,4,2,1,2,1,1,1,4,2
"22",124248,23,40,10,1239,1,-1,0,1,11,2,1,1,1,1,2,4,1
"23",142916,26,592,29,145,2,1,1,1,1,3,1,5,1,1,2,3,1
"24",124552,54,2398,17,73,1,-1,0,1,11,2,3,8,1,1,1,4,2
"25",121138,49,322,14,356,2,-1,0,1,8,2,2,2,1,1,1,4,1
"26",121074,59,3062,14,87,2,-1,0,1,8,1,2,2,1,1,1,4,2
"27",138327,38,0,15,64,2,-1,0,1,5,4,1,1,1,1,1,4,2
"28",106551,45,-173,27,315,2,-1,0,1,5,2,2,1,1,1,3,4,2
"29",120686,31,350,12,359,2,-1,0,1,8,3,1,5,1,1,1,4,2
"30",120747,32,11431,12,141,5,-1,0,1,8,2,2,10,1,1,1,4,1
"31",102694,44,1423,13,162,4,-1,0,1,5,2,2,1,1,1,3,4,2
"32",114879,41,143,16,141,1,-1,0,1,7,3,2,3,1,2,1,4,1
"33",113317,0,188,8,163,1,-1,0,1,7,2,3,4,1,1,1,4,1
"34",126966,44,4580,20,192,2,2,2,1,11,3,2,10,1,1,1,2,2
"35",123229,58,382,26,384,4,-1,0,1,8,2,2,8,1,1,1,4,1
"36",102866,31,369,14,89,2,-1,0,1,5,2,2,2,1,2,3,4,2
"37",122210,48,492,21,139,2,-1,0,1,8,1,2,2,1,2,1,4,1
"38",100767,35,148,6,128,2,-1,0,1,5,2,1,1,1,1,3,4,2
"39",114860,32,210,16,298,2,-1,0,1,7,2,1,10,1,1,1,4,2
"40",135031,33,1268,6,451,1,2,1,1,5,3,1,8,1,1,1,3,2
"41",132836,36,-196,17,43,1,-1,0,1,4,3,2,5,1,2,1,4,2
"42",123340,44,639,27,69,12,-1,0,1,8,3,1,5,1,1,1,4,1
"43",113431,26,158,8,416,4,-1,0,1,7,1,2,4,1,2,1,4,1
"44",108581,0,572,3,235,1,-1,0,1,6,1,2,2,1,2,3,4,2
"45",108488,43,-120,3,46,1,-1,0,1,6,1,2,2,1,1,3,4,2
"46",131745,0,2651,6,139,2,1,5,1,4,3,1,5,1,1,1,3,1
"47",123715,54,0,28,276,6,-1,0,1,8,3,3,5,1,1,1,4,1
"48",104893,40,858,21,173,1,-1,0,1,5,1,1,5,1,1,3,4,2
"49",119890,32,5204,8,31,2,-1,0,1,8,3,1,10,1,1,1,4,1
